score,srl_m_1,srl_m_2,srl_m_3,srl_m_4,srl_m_5,srl_m_6,srl_m_7,srl_m_8,srl_m_9,srl_m_10,srl_m_11,srl_m_12,srl_m_13,srl_m_14,srl_m_15,srl_m_16,srl_m_17,srl_m_18,srl_m_19,srl_m_20,srl_m_21,srl_m_22,srl_m_23,srl_m_24,srl_m_25,srl_m_26,srl_m_27,srl_m_28,srl_m_29,srl_m_30,srl_m_31,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,srl_s_1,srl_s_2,srl_s_3,srl_s_4,srl_s_5,srl_s_6,srl_s_7,srl_s_8,srl_s_9,srl_s_10,srl_s_11,srl_s_12,srl_s_13,srl_s_14,srl_s_15,srl_s_16,srl_s_17,srl_s_18,srl_s_19,srl_s_20,srl_s_21,srl_s_22,srl_s_23,srl_s_24,srl_s_25,srl_s_26,srl_s_27,srl_s_28,srl_s_29,srl_s_30,srl_s_31,srl_s_32,srl_s_33,srl_s_34,srl_s_35,srl_s_36,srl_s_37,srl_s_38,srl_s_39,srl_s_40,srl_s_41,srl_s_42,srl_s_43,srl_s_44,srl_s_45,srl_s_46,srl_s_47,srl_s_48,srl_s_49,srl_s_50,ADD BOOKMARK,ADD MARKER,ADD MEMO,ADD_HW_MEMO,ADD_RECOMMENDATION,BOOKMARK_JUMP,CHANGE MEMO,CLEAR_HW_MEMO,CLOSE,CLOSE_RECOMMENDATION,DELETE BOOKMARK,DELETE MARKER,DELETE_MEMO,GETIT,LINK_CLICK,MEMO_JUMP,NEXT,NOTGETIT,OPEN,OPEN_RECOMMENDATION,PAGE_JUMP,PREV,REGIST CONTENTS,SEARCH,SEARCH_JUMP,UNDO_HW_MEMO
81,4,4,5,2,4,4,3,3,3,4,4,4,4,4,4,2,4,4,4,2,4,2,3,4.0,3,4,4,5,4,2,2,4,4,4,4,4,2,3,4,3,3,3,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,4,3,4,4,4.0,4,4,4,5.0,3,4,4,4.0,2,4,4.0,4,4,4.0,4.0,4.0,4.0,4.0,3,4,4,4.0,4,4.0,3,2.0,4.0,4.0,4.0,2,4,4,4,2,4,4,2,1,2.0,4,2,3,3,5,5,4,2,5,5,3,45,24,0,0,0,10,0,196,0,3,0,0,0,0,0,2929,0,257,0,1,1330,0,2,0,0
90,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,1,5,1,1,1,5,5,5,5,1,1,5,1,5,5,5,5,4,5,5,5,5,5,5,1,1,3,5,5,1,5,1,5,5,5,5,5,5,5,5,5,4,5,5,1,1,5,5,5,1,1,1,5,5.0,2,5,5,5.0,5,5,1,5.0,5,3,5.0,1,3,1.0,5.0,5.0,5.0,5.0,1,4,5,5.0,3,5.0,2,1.0,5.0,5.0,5.0,4,5,5,1,1,5,4,1,1,1.0,4,1,4,5,1,1,5,5,5,5,0,227,21,0,0,0,31,0,59,0,0,15,5,0,0,0,1500,0,86,0,3,832,0,0,0,0
70,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4.0,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,2,3,3,4,3,4,3,4,4,4,2,3,4,4,3,2,4,4,3,4,4,4,4,4,3,4,4,4,4,4,2,1,4,4,3,2,2,4,4,3.0,3,4,3,4.0,4,3,3,4.0,4,5,5.0,4,4,3.0,4.0,4.0,4.0,4.0,4,3,4,4.0,3,4.0,4,2.0,4.0,4.0,3.0,3,4,4,3,4,3,4,3,3,2.0,4,2,4,2,4,5,4,4,4,4,0,47,16,26,0,0,12,0,175,0,0,1,0,0,0,0,2245,2,228,0,3,542,0,0,0,0
90,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4.0,4,4,2,2,2,2,2,4,4,4,3,3,3,3,2,3,2,2,3,1,2,4,3,3,4,4,2,2,4,5,4,1,1,1,4,4,4,5,3,4,3,3,3,4,4,5,2,1,5,5,4,1,1,1,1,4.0,4,4,4,4.0,3,4,3,4.0,3,4,4.0,4,4,3.0,4.0,4.0,4.0,4.0,3,4,4,4.0,4,4.0,4,4.0,4.0,4.0,4.0,4,4,3,3,3,5,5,3,2,2.0,3,3,3,4,4,4,4,3,4,4,52,745,132,1,0,62,341,0,223,3,4,164,3,17,0,0,3867,3,309,1,50,1560,0,1,0,0
80,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3.0,3,3,3,4,4,3,4,3,2,3,3,4,2,3,4,4,3,3,2,4,3,3,3,4,4,4,3,4,3,4,2,2,3,4,3,4,3,3,3,4,3,3,3,2,3,4,4,2,2,4,4,2,2,2,2,3.0,4,4,4,4.0,4,4,5,3.0,3,4,4.0,3,4,3.0,4.0,3.0,3.0,3.0,2,2,4,4.0,3,3.0,4,2.0,3.0,4.0,4.0,3,4,4,2,3,4,4,2,2,2.0,4,2,4,4,3,3,3,4,4,4,65,439,66,0,0,168,216,0,209,0,52,54,1,0,0,0,3564,1,281,0,1,1405,0,0,0,0
80,4,4,3,4,5,3,4,4,3,4,3,4,4,4,4,3,4,3,3,3,4,3,4,4.0,3,4,3,3,3,2,2,3,4,2,4,3,4,4,4,4,3,2,4,5,4,3,4,4,4,4,3,4,4,4,3,2,2,2,3,5,3,5,4,5,4,4,4,3,4,5,2,1,2,4,5,1,4,2,4,3.0,3,4,3,4.0,4,3,3,3.0,2,4,4.0,4,4,3.0,4.0,4.0,3.0,4.0,4,3,5,4.0,3,3.0,3,2.0,4.0,3.0,4.0,3,3,4,3,3,5,5,2,2,3.0,4,3,5,3,4,3,3,3,5,5,61,444,30,0,0,65,8,0,227,0,8,25,2,0,0,0,3174,0,282,0,77,1151,0,0,0,0
73,2,2,3,2,4,3,2,2,2,4,3,3,3,4,4,5,4,5,2,1,4,2,2,2.0,2,2,4,3,2,4,3,2,2,2,2,2,1,2,4,3,1,1,2,1,2,2,1,3,2,2,1,3,1,2,2,1,1,2,4,3,2,3,2,3,3,3,2,1,3,5,1,2,1,4,4,1,1,2,1,2.0,2,2,2,2.0,3,3,2,2.0,3,2,3.0,2,3,2.0,3.0,4.0,3.0,2.0,4,2,2,2.0,2,2.0,4,4.0,3.0,3.0,4.0,2,2,2,4,2,2,4,3,2,3.0,4,3,4,2,5,5,1,2,5,5,1,36,19,2,0,0,12,0,64,0,1,0,0,1,0,0,1222,0,83,0,11,646,0,0,0,0
83,4,4,4,4,4,4,2,4,3,5,4,5,5,5,4,2,4,2,4,2,5,2,5,5.0,2,4,5,5,5,5,5,4,2,2,4,4,4,4,4,4,1,1,3,1,2,2,3,4,3,3,2,2,4,4,2,2,2,1,4,4,3,4,3,4,3,4,4,3,4,4,4,2,4,5,5,1,1,1,1,4.0,4,4,4,4.0,3,4,4,4.0,3,5,5.0,3,5,2.0,2.0,4.0,4.0,2.0,4,2,4,4.0,4,2.0,4,2.0,4.0,4.0,2.0,4,4,4,2,4,5,5,2,2,2.0,2,2,4,1,5,5,2,2,5,5,5,430,33,11,0,1,7,0,179,1,5,58,4,8,0,0,3088,15,283,0,26,1177,0,3,3,0
81,3,4,4,4,2,2,1,1,4,5,4,4,4,4,4,2,4,4,2,4,4,4,3,2.0,4,4,2,3,1,1,1,5,5,3,4,1,5,4,1,5,2,3,5,5,4,3,4,4,5,5,3,3,4,4,4,3,5,3,5,3,5,3,3,4,3,3,3,4,4,4,3,4,4,3,2,2,5,5,4,4.0,3,4,5,5.0,3,5,2,4.0,5,2,4.0,3,3,3.0,5.0,4.0,5.0,5.0,5,3,5,4.0,3,5.0,4,1.0,2.0,5.0,2.0,4,3,3,2,4,5,5,3,2,1.0,5,2,4,5,5,5,5,3,5,5,3,26,36,3,0,1,20,0,99,0,3,2,2,3,0,0,1768,2,114,0,5,990,0,9,4,2
81,5,4,4,5,5,5,4,3,5,4,4,5,5,5,4,4,5,5,5,4,4,4,4,5.0,4,5,2,2,1,1,1,4,4,2,2,3,2,5,5,4,1,2,2,2,5,3,3,1,4,3,1,5,5,3,4,2,1,2,4,5,4,4,5,5,3,3,4,5,5,5,5,2,4,5,5,1,1,1,3,5.0,5,5,4,5.0,4,5,5,5.0,4,5,5.0,5,5,2.0,4.0,4.0,3.0,3.0,2,5,5,5.0,5,3.0,4,1.0,4.0,5.0,5.0,4,5,5,1,4,5,5,1,1,1.0,5,1,5,3,5,4,4,5,5,5,70,345,39,10,0,219,103,0,199,0,11,35,2,7,0,0,3342,0,273,0,42,1211,0,2,1,5
85,4,4,2,3,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,1,1,1,1,1,5,5,4,4,2,2,3,2,3,2,2,3,5,5,2,4,5,4,5,2,5,5,5,4,4,3,5,2,4,5,5,3,2,5,4,4,4,4,4,2,3,4,2,3,2,5,5,5,4.0,3,5,5,5.0,3,4,3,4.0,4,4,5.0,3,4,2.0,4.0,3.0,3.0,3.0,4,2,3,5.0,3,2.0,2,1.0,4.0,5.0,2.0,5,5,3,2,3,4,4,2,1,1.0,5,1,5,3,3,3,5,3,4,2,2,143,20,0,0,1,19,0,113,0,1,10,2,1,0,0,1982,1,162,0,30,682,0,0,0,0
80,4,4,4,5,5,5,5,5,4,4,4,4,4,5,4,3,4,4,4,4,5,4,3,4.0,4,4,5,5,5,4,4,3,3,3,3,3,2,3,4,4,2,3,4,3,3,3,4,4,4,3,3,4,4,3,3,1,3,3,2,3,3,4,3,3,3,3,4,4,4,4,4,2,3,4,4,3,2,2,2,4.0,4,4,4,3.0,4,4,4,4.0,4,5,3.0,3,4,3.0,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3.0,3,3.0,3.0,4.0,4.0,4,4,4,4,4,4,5,2,2,3.0,5,3,4,4,4,4,5,4,5,4,0,450,30,14,0,0,17,0,189,0,0,15,0,1,0,0,3328,2,237,0,10,1533,0,0,0,0
78,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,4,3,3,2,2,4,4,3,3,3,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,2,3,2,3,5.0,5,4,4,4.0,4,4,4,4.0,4,4,4.0,4,4,4.0,4.0,4.0,4.0,4.0,3,4,4,4.0,4,4.0,3,3.0,3.0,3.0,3.0,3,4,4,4,4,4,4,2,2,2.0,4,2,4,4,4,4,4,2,4,4,2,399,37,2,0,0,42,0,256,0,2,64,3,0,0,0,4956,0,339,0,1,2659,0,0,0,0
84,5,5,5,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,5,4,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.0,4,4,5,5.0,4,4,4,5.0,4,5,4.0,4,4,5.0,5.0,5.0,5.0,4.0,4,5,4,4.0,4,4.0,4,4.0,4.0,4.0,4.0,4,5,4,4,4,4,4,4,4,5.0,4,4,4,5,4,4,5,4,5,4,1,23,30,1,0,0,11,0,65,0,1,0,1,0,0,0,1122,3,134,0,5,523,0,0,0,0
89,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.0,2,2,2,2.0,2,2,2,2.0,2,2,2.0,2,2,2.0,2.0,2.0,2.0,2.0,2,2,2,2.0,2,2.0,2,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,2,8,393,37,0,0,10,30,0,116,2,0,11,0,2,0,0,3490,0,290,0,73,1305,0,0,0,0
82,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3.0,3,3,3.0,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3.0,3,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,5,312,32,27,0,1,28,1,238,0,5,16,1,1,0,0,4244,1,270,0,0,2176,0,0,0,7
58,4,4,5,4,3,3,3,3,5,5,4,5,4,5,4,4,5,5,3,3,4,4,3,3.0,4,3,4,4,3,3,3,4,4,3,3,4,4,3,3,3,2,4,3,5,4,3,4,4,5,5,3,4,4,3,5,3,4,4,4,5,5,5,4,5,5,5,5,3,4,4,3,3,4,3,4,4,1,2,4,4.0,4,5,5,3.0,4,4,1,3.0,4,5,5.0,2,4,3.0,4.0,5.0,5.0,5.0,4,3,5,4.0,3,4.0,3,4.0,4.0,4.0,5.0,3,3,4,4,2,3,4,4,2,3.0,4,3,4,4,4,4,3,4,4,4,5,422,20,42,0,1,1,0,86,0,5,0,1,0,0,0,2160,0,168,0,55,690,0,0,0,1
96,5,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.0,5,4,1,1,3,1,3,5,3,3,5,4,5,5,2,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5,4,5,5,4,4,5,2,1,5,4,4,3,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5.0,4,5,5.0,5.0,5.0,5.0,5.0,2,5,5,5.0,3,5.0,5,2.0,5.0,5.0,5.0,5,5,5,3,5,5,4,2,1,1.0,5,1,5,4,3,3,3,5,5,5,1,417,35,22,0,0,19,0,137,0,1,69,4,7,0,0,1897,2,192,0,18,431,0,0,0,0
67,4,4,5,4,4,3,5,4,3,5,4,4,5,4,4,4,4,4,3,2,4,2,2,3.0,2,2,3,4,4,5,5,1,3,3,3,3,3,3,3,3,2,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4.0,5,5,5,2.0,4,4,4,5.0,4,5,5.0,3,5,3.0,3.0,5.0,4.0,2.0,4,4,4,4.0,2,4.0,4,4.0,5.0,4.0,4.0,2,4,2,5,2,2,4,1,1,3.0,4,4,4,4,1,1,4,2,5,2,64,400,36,26,0,106,77,1,208,0,6,23,1,2,0,0,4614,1,316,0,0,2285,0,0,0,9
90,4,5,5,3,5,5,5,5,3,4,4,4,5,4,3,5,5,5,5,4,4,4,4,4.0,4,4,5,5,4,4,4,1,5,1,4,1,1,1,3,1,1,1,1,1,1,1,3,3,4,5,1,2,5,2,1,1,1,1,1,3,1,5,5,1,2,2,4,3,4,3,4,1,3,1,3,1,1,1,1,5.0,5,5,5,5.0,1,5,5,5.0,5,5,5.0,5,5,3.0,5.0,1.0,3.0,5.0,1,5,5,5.0,5,4.0,5,3.0,5.0,5.0,5.0,5,4,4,5,5,5,5,1,1,5.0,5,1,4,1,1,1,5,5,5,5,7,429,88,14,0,1,86,1,355,0,7,156,4,6,0,0,5187,5,475,0,231,2244,0,1,0,12
74,1,1,5,1,5,5,5,5,5,5,3,5,4,3,3,3,3,3,5,1,5,1,3,3.0,4,3,4,5,5,5,3,3,1,1,5,1,4,1,1,1,4,1,1,5,3,1,5,5,5,5,1,1,5,5,5,3,1,1,4,5,5,3,1,5,1,1,1,3,3,5,5,1,5,3,5,3,1,4,1,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5,5,5,5.0,5,5.0,5,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,3.0,5,3,5,5,5,5,5,1,5,5,1,100,24,20,0,0,5,1,102,3,1,22,0,189,0,0,1989,25,139,0,35,840,0,2,0,0
88,4,4,4,4,5,4,5,5,4,4,5,5,5,5,4,4,4,4,5,4,4,4,4,4.0,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,4.0,4,4,4,4.0,4,4,4,4.0,4,4,4.0,5,3,5.0,5.0,5.0,5.0,5.0,5,5,4,4.0,4,4.0,4,4.0,4.0,5.0,5.0,5,5,5,2,5,5,5,2,1,2.0,5,2,5,2,2,2,3,2,5,5,5,550,71,60,0,3,58,4,163,0,4,64,7,1,0,1,3706,1,428,0,104,909,0,53,12,21
67,3,3,4,4,4,3,3,3,4,4,3,4,3,4,4,3,3,3,3,2,3,2,2,3.0,2,2,3,3,2,3,3,2,3,2,2,2,2,3,2,2,2,3,3,2,2,2,2,3,3,3,2,2,3,3,3,2,3,2,2,3,3,3,2,3,2,2,2,2,3,3,3,1,3,3,3,2,2,3,2,3.0,3,3,3,3.0,3,3,3,3.0,3,4,4.0,4,4,3.0,3.0,3.0,3.0,4.0,4,4,3,3.0,2,2.0,3,3.0,3.0,3.0,3.0,2,3,3,3,3,3,4,3,3,3.0,3,4,3,2,2,2,3,2,4,3,10,852,28,0,0,0,50,0,102,0,10,44,2,9,0,15,2111,18,160,0,14,1125,0,0,0,0
76,4,5,4,5,5,5,5,5,4,4,4,5,4,5,5,4,5,4,4,3,4,4,4,4.0,4,4,4,5,3,4,4,2,4,2,2,4,2,2,2,3,2,2,2,5,2,2,2,4,4,4,2,2,4,2,2,2,2,2,4,4,2,4,2,5,4,2,4,4,2,4,4,1,1,2,2,1,1,1,1,4.0,4,3,4,4.0,3,3,4,5.0,4,4,4.0,4,3,4.0,4.0,4.0,4.0,4.0,5,3,3,5.0,4,4.0,5,4.0,4.0,4.0,4.0,4,3,3,3,4,3,5,5,5,4.0,5,4,5,3,5,4,5,3,5,5,16,347,38,59,0,17,24,0,97,0,6,18,0,28,0,0,3192,2,276,0,26,996,0,0,0,13
