score,class,srl_m_1,srl_m_2,srl_m_3,srl_m_4,srl_m_5,srl_m_6,srl_m_7,srl_m_8,srl_m_9,srl_m_10,srl_m_11,srl_m_12,srl_m_13,srl_m_14,srl_m_15,srl_m_16,srl_m_17,srl_m_18,srl_m_19,srl_m_20,srl_m_21,srl_m_22,srl_m_23,srl_m_24,srl_m_25,srl_m_26,srl_m_27,srl_m_28,srl_m_29,srl_m_30,srl_m_31,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,srl_s_1,srl_s_2,srl_s_3,srl_s_4,srl_s_5,srl_s_6,srl_s_7,srl_s_8,srl_s_9,srl_s_10,srl_s_11,srl_s_12,srl_s_13,srl_s_14,srl_s_15,srl_s_16,srl_s_17,srl_s_18,srl_s_19,srl_s_20,srl_s_21,srl_s_22,srl_s_23,srl_s_24,srl_s_25,srl_s_26,srl_s_27,srl_s_28,srl_s_29,srl_s_30,srl_s_31,srl_s_32,srl_s_33,srl_s_34,srl_s_35,srl_s_36,srl_s_37,srl_s_38,srl_s_39,srl_s_40,srl_s_41,srl_s_42,srl_s_43,srl_s_44,srl_s_45,srl_s_46,srl_s_47,srl_s_48,srl_s_49,srl_s_50,ADD BOOKMARK,ADD MARKER,ADD MEMO,ADD_HW_MEMO,ADD_RECOMMENDATION,BOOKMARK_JUMP,CHANGE MEMO,CLEAR_HW_MEMO,CLOSE,CLOSE_RECOMMENDATION,DELETE BOOKMARK,DELETE MARKER,DELETE_MEMO,GETIT,LINK_CLICK,MEMO_JUMP,NEXT,NOTGETIT,OPEN,OPEN_RECOMMENDATION,PAGE_JUMP,PREV,REGIST CONTENTS,SEARCH,SEARCH_JUMP,UNDO_HW_MEMO,code_copy,code_execution,code_paste,code_speed,notebook_open,tree_open,AssertionError,AttributeError,AxisError,ConversionError,DataError,EmptyDataError,Exception,FileNotFoundError,HTTPError,ImportError,IndentationError,IndexError,IndexingError,InvalidURL,KeyError,KeyboardInterrupt,ModuleNotFoundError,NameError,OSError,OverflowError,ParserError,RecursionError,RuntimeError,SelectorSyntaxError,SpecificationError,StopIteration,SyntaxError,TabError,TclError,TypeError,UFuncTypeError,UnboundLocalError,UndefinedVariableError,ValueError,WebDriverException,XLRDError,ZeroDivisionError,codeLength,Viscode-login_times,Viscode-execute_times,Viscode-open_file_times,Viscode-success_run,Viscode-failed_run,Viscode-error_types,Viscode-spent_time
81,b,4.0,4,5.0,2,4.0,4.0,3,3,3,4.0,4,4.0,4.0,4,4,2,4.0,4,4,2,4,2,3,4.0,3.0,4.0,4,5,4,2.0,2,4,4,4,4,4,2,3,4,3,3,3,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,4,3,4,4,4.0,4,4,4,5.0,3,4,4,4.0,2,4,4.0,4,4,4.0,4.0,4.0,4.0,4.0,3,4,4,4.0,4,4.0,3,2.0,4.0,4.0,4.0,2,4,4,4,2,4,4,2,1,2.0,4,2,3,3,5,5,4,2,5,5,3,45,24,0,0,0,10,0,196,0,3,0,0,0,0,0,2929,0,257,0,1,1330,0,2,0,0,200,471,357,1475,110,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1931.0,155,1183,110.0,1052,131.0,8.0,2609.546716
90,b,5.0,5,5.0,5,5.0,1.0,5,5,5,5.0,5,5.0,5.0,5,5,5,5.0,5,5,5,5,5,5,5.0,5.0,5.0,1,5,1,1.0,1,5,5,5,5,1,1,5,1,5,5,5,5,4,5,5,5,5,5,5,1,1,3,5,5,1,5,1,5,5,5,5,5,5,5,5,5,4,5,5,1,1,5,5,5,1,1,1,5,5.0,2,5,5,5.0,5,5,1,5.0,5,3,5.0,1,3,1.0,5.0,5.0,5.0,5.0,1,4,5,5.0,3,5.0,2,1.0,5.0,5.0,5.0,4,5,5,1,1,5,4,1,1,1.0,4,1,4,5,1,1,5,5,5,5,0,227,21,0,0,0,31,0,59,0,0,15,5,0,0,0,1500,0,86,0,3,832,0,0,0,0,119,497,100,1533,30,19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3585.0,49,765,30.0,689,76.0,10.0,3280.426613
70,b,4.0,4,4.0,4,4.0,4.0,4,4,4,4.0,4,4.0,4.0,4,4,4,4.0,4,3,4,4,4,4,4.0,4.0,4.0,4,4,4,4.0,4,4,4,3,4,4,3,4,3,3,2,3,3,4,3,4,3,4,4,4,2,3,4,4,3,2,4,4,3,4,4,4,4,4,3,4,4,4,4,4,2,1,4,4,3,2,2,4,4,3.0,3,4,3,4.0,4,3,3,4.0,4,5,5.0,4,4,3.0,4.0,4.0,4.0,4.0,4,3,4,4.0,3,4.0,4,2.0,4.0,4.0,3.0,3,4,4,3,4,3,4,3,3,2.0,4,2,4,2,4,5,4,4,4,4,0,47,16,26,0,0,12,0,175,0,0,1,0,0,0,0,2245,2,228,0,3,542,0,0,0,0,15,172,91,829,52,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4886.0,77,355,52.0,301,54.0,5.0,815.959929
90,b,4.0,4,4.0,3,4.0,3.0,4,4,4,4.0,4,4.0,4.0,4,4,3,4.0,3,4,4,4,4,4,4.0,4.0,4.0,2,2,2,2.0,2,4,4,4,3,3,3,3,2,3,2,2,3,1,2,4,3,3,4,4,2,2,4,5,4,1,1,1,4,4,4,5,3,4,3,3,3,4,4,5,2,1,5,5,4,1,1,1,1,4.0,4,4,4,4.0,3,4,3,4.0,3,4,4.0,4,4,3.0,4.0,4.0,4.0,4.0,3,4,4,4.0,4,4.0,4,4.0,4.0,4.0,4.0,4,4,3,3,3,5,5,3,2,2.0,3,3,3,4,4,4,4,3,4,4,52,745,132,1,0,62,341,0,223,3,4,164,3,17,0,0,3867,3,309,1,50,1560,0,1,0,0,234,978,390,2606,150,61,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,46.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4137.0,211,1813,150.0,1616,197.0,8.0,6262.712045
80,b,3.0,4,4.0,3,4.0,4.0,4,4,3,4.0,4,4.0,4.0,4,4,3,4.0,4,3,3,3,3,3,3.0,3.0,3.0,3,4,4,3.0,4,3,2,3,3,4,2,3,4,4,3,3,2,4,3,3,3,4,4,4,3,4,3,4,2,2,3,4,3,4,3,3,3,4,3,3,3,2,3,4,4,2,2,4,4,2,2,2,2,3.0,4,4,4,4.0,4,4,5,3.0,3,4,4.0,3,4,3.0,4.0,3.0,3.0,3.0,2,2,4,4.0,3,3.0,4,2.0,3.0,4.0,4.0,3,4,4,2,3,4,4,2,2,2.0,4,2,4,4,3,3,3,4,4,4,65,439,66,0,0,168,216,0,209,0,52,54,1,0,0,0,3564,1,281,0,1,1405,0,0,0,0,379,568,435,3246,236,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,320,1702,236.0,1596,106.0,5.0,2834.658343
80,b,4.0,4,3.0,4,5.0,3.0,4,4,3,4.0,3,4.0,4.0,4,4,3,4.0,3,3,3,4,3,4,4.0,3.0,4.0,3,3,3,2.0,2,3,4,2,4,3,4,4,4,4,3,2,4,5,4,3,4,4,4,4,3,4,4,4,3,2,2,2,3,5,3,5,4,5,4,4,4,3,4,5,2,1,2,4,5,1,4,2,4,3.0,3,4,3,4.0,4,3,3,3.0,2,4,4.0,4,4,3.0,4.0,4.0,3.0,4.0,4,3,5,4.0,3,3.0,3,2.0,4.0,3.0,4.0,3,3,4,3,3,5,5,2,2,3.0,4,3,5,3,4,3,3,3,5,5,61,444,30,0,0,65,8,0,227,0,8,25,2,0,0,0,3174,0,282,0,77,1151,0,0,0,0,328,2013,384,5335,181,84,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,13.0,0.0,0.0,0.0,34.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,1.0,0.0,32.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,5249.0,265,2990,181.0,2585,405.0,10.0,14187.186473
73,b,2.0,2,3.0,2,4.0,3.0,2,2,2,4.0,3,3.0,3.0,4,4,5,4.0,5,2,1,4,2,2,2.0,2.0,2.0,4,3,2,4.0,3,2,2,2,2,2,1,2,4,3,1,1,2,1,2,2,1,3,2,2,1,3,1,2,2,1,1,2,4,3,2,3,2,3,3,3,2,1,3,5,1,2,1,4,4,1,1,2,1,2.0,2,2,2,2.0,3,3,2,2.0,3,2,3.0,2,3,2.0,3.0,4.0,3.0,2.0,4,2,2,2.0,2,2.0,4,4.0,3.0,3.0,4.0,2,2,2,4,2,2,4,3,2,3.0,4,3,4,2,5,5,1,2,5,5,1,36,19,2,0,0,12,0,64,0,1,0,0,1,0,0,1222,0,83,0,11,646,0,0,0,0,37,122,62,720,28,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,952.0,46,267,28.0,230,37.0,6.0,570.175587
83,b,4.0,4,4.0,4,4.0,4.0,2,4,3,5.0,4,5.0,5.0,5,4,2,4.0,2,4,2,5,2,5,5.0,2.0,4.0,5,5,5,5.0,5,4,2,2,4,4,4,4,4,4,1,1,3,1,2,2,3,4,3,3,2,2,4,4,2,2,2,1,4,4,3,4,3,4,3,4,4,3,4,4,4,2,4,5,5,1,1,1,1,4.0,4,4,4,4.0,3,4,4,4.0,3,5,5.0,3,5,2.0,2.0,4.0,4.0,2.0,4,2,4,4.0,4,2.0,4,2.0,4.0,4.0,2.0,4,4,4,2,4,5,5,2,2,2.0,2,2,4,1,5,5,2,2,5,5,5,430,33,11,0,1,7,0,179,1,5,58,4,8,0,0,3088,15,283,0,26,1177,0,3,3,0,110,417,150,1479,69,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.0,103,780,69.0,703,77.0,5.0,2196.315963
81,b,3.0,4,4.0,4,2.0,2.0,1,1,4,5.0,4,4.0,4.0,4,4,2,4.0,4,2,4,4,4,3,2.0,4.0,4.0,2,3,1,1.0,1,5,5,3,4,1,5,4,1,5,2,3,5,5,4,3,4,4,5,5,3,3,4,4,4,3,5,3,5,3,5,3,3,4,3,3,3,4,4,4,3,4,4,3,2,2,5,5,4,4.0,3,4,5,5.0,3,5,2,4.0,5,2,4.0,3,3,3.0,5.0,4.0,5.0,5.0,5,3,5,4.0,3,5.0,4,1.0,2.0,5.0,2.0,4,3,3,2,4,5,5,3,2,1.0,5,2,4,5,5,5,5,3,5,5,3,26,36,3,0,1,20,0,99,0,3,2,2,3,0,0,1768,2,114,0,5,990,0,9,4,2,54,242,76,425,33,24,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2414.0,57,429,33.0,385,44.0,8.0,1488.03548
81,b,5.0,4,4.0,5,5.0,5.0,4,3,5,4.0,4,5.0,5.0,5,4,4,5.0,5,5,4,4,4,4,5.0,4.0,5.0,2,2,1,1.0,1,4,4,2,2,3,2,5,5,4,1,2,2,2,5,3,3,1,4,3,1,5,5,3,4,2,1,2,4,5,4,4,5,5,3,3,4,5,5,5,5,2,4,5,5,1,1,1,3,5.0,5,5,4,5.0,4,5,5,5.0,4,5,5.0,5,5,2.0,4.0,4.0,3.0,3.0,2,5,5,5.0,5,3.0,4,1.0,4.0,5.0,5.0,4,5,5,1,4,5,5,1,1,1.0,5,1,5,3,5,4,4,5,5,5,70,345,39,10,0,219,103,0,199,0,11,35,2,7,0,0,3342,0,273,0,42,1211,0,2,1,5,226,606,270,2815,215,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2204.0,288,1390,215.0,1276,114.0,6.0,3550.221122
